candidate_id,group,trial,implementation,reference,static_score,mapping_id,processing_unit,prefix_log_n,suffix_log_n,prefix_threads,suffix_threads,prefix_ept,suffix_ept,cross_twiddle,device,compute_capability,operator,precision,direction,normalization,placement,backend,fft_core,logN,N,batch,warmup,repeat,kernel_ms,points_s,max_error,correct
fft20-fp32_b8_p10s10_t128x128_e16x16_rec,fft20-fp32-batch8,1,fft20-fp32_b8_p10s10_t128x128_e16x16_rec,0,1193271.6996612132,fft20-fp32,cufftdx-online-shared,10,10,128,128,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.466575,17979106530.193180,0.001451,1
fft20-fp32_b8_p10s10_t512x256_e16x16_rec,fft20-fp32-batch8,3,fft20-fp32_b8_p10s10_t512x256_e16x16_rec,0,1193271.6996612132,fft20-fp32,cufftdx-online-shared,10,10,512,256,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.588841,14245965462.819736,0.001451,1
fft20-fp32_b8_p10s10_t128x128_e16x16_rec,fft20-fp32-batch8,3,fft20-fp32_b8_p10s10_t128x128_e16x16_rec,0,1193271.6996612132,fft20-fp32,cufftdx-online-shared,10,10,128,128,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.467354,17949168073.648766,0.001451,1
fft20-fp32_b16_p10s10_t512x512_e16x16_rec,fft20-fp32-batch16,1,fft20-fp32_b16_p10s10_t512x512_e16x16_rec,0,2386543.3993224264,fft20-fp32,cufftdx-online-shared,10,10,512,512,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,16,100,50,1.103114,15208955954.225348,0.001451,1
fft18-fp32_b2_p9s9_t512x512_e16x16_tbl,fft18-fp32-batch2,1,fft18-fp32_b2_p9s9_t512x512_e16x16_tbl,0,83474.31145798555,fft18-fp32,cufftdx-online-shared,9,9,512,512,16,16,table,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.049398,10613598858.179005,0.000754,1
fft18-fp32_b16_p8s10_t128x512_e16x16_rec,fft18-fp32-batch16,3,fft18-fp32_b16_p8s10_t128x512_e16x16_rec,0,596635.8498306066,fft18-fp32,cufftdx-online-shared,8,10,128,512,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,16,100,50,0.252539,16608548888.624439,0.000626,1
fft20-fp32_b2_p10s10_t512x512_e16x16_rec,fft20-fp32-batch2,3,fft20-fp32_b2_p10s10_t512x512_e16x16_rec,0,298317.9249153033,fft20-fp32,cufftdx-online-shared,10,10,512,512,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,2,100,50,0.175534,11947264741.928703,0.001320,1
fft18-fp32_b2_p10s8_t512x512_e16x16_rec,fft18-fp32-batch2,2,fft18-fp32_b2_p10s8_t512x512_e16x16_rec,0,81804.82522882584,fft18-fp32,cufftdx-online-shared,10,8,512,512,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.038707,13544973391.777880,0.000637,1
fft20-fp32_b2_p10s10_t256x512_e16x16_rec,fft20-fp32-batch2,3,fft20-fp32_b2_p10s10_t256x512_e16x16_rec,0,298317.9249153033,fft20-fp32,cufftdx-online-shared,10,10,256,512,16,16,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,2,100,50,0.146330,14331700819.064901,0.001320,1
fft20-fp32_b8_p10s10_t512x512_e8x8_rec,fft20-fp32-batch8,1,fft20-fp32_b8_p10s10_t512x512_e8x8_rec,0,2386543.3993224264,fft20-fp32,cufftdx-online-shared,10,10,512,512,8,8,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,8,100,50,0.454738,18447126177.741116,0.001485,1
fft20-fp32_b2_p10s10_t512x512_e8x8_rec,fft20-fp32-batch2,3,fft20-fp32_b2_p10s10_t512x512_e8x8_rec,0,596635.8498306066,fft20-fp32,cufftdx-online-shared,10,10,512,512,8,8,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,20,1048576,2,100,50,0.128573,16310927990.073730,0.001288,1
fft18-fp32_b2_p9s9_t256x256_e8x8_rec,fft18-fp32-batch2,1,fft18-fp32_b2_p9s9_t256x256_e8x8_rec,0,175170.20085765165,fft18-fp32,cufftdx-online-shared,9,9,256,256,8,8,recurrence,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,cufftdx-block,18,262144,2,100,50,0.025928,20221169337.977360,0.000553,1
