holdout_dimension,holdout_value,operator,precision,accumulation,logN,batch,measured_winner,predicted_winner,top1_correct,topk_contains_winner,regret
numeric-contract,bf16:native,structured-2x2,bf16,native,8,961,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,bf16:native,fwht,bf16,native,20,2,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,bf16:native,structured-2x2,bf16,native,15,8,online-r2-t256,hier-r4-t256,0,1,1.0972958706240854
numeric-contract,bf16:native,fft,bf16,native,8,801,temporal-r2-t128,temporal-r4-t128,0,1,1.1031206953878308
numeric-contract,bf16:native,structured-2x2,bf16,native,8,1279,temporal-r2-t128,temporal-r4-t128,0,1,1.0316708229426435
numeric-contract,bf16:native,structured-2x2,bf16,native,15,7,online-r2-t256,online-r4-t256,0,1,1.0454954240067713
numeric-contract,bf16:native,structured-2x2,bf16,native,8,959,temporal-r2-t128,temporal-r4-t128,0,1,1.1401895013486412
numeric-contract,bf16:native,fft,bf16,native,20,2,online-r4-t256,online-r4-t256,1,1,1.0
numeric-contract,bf16:native,structured-2x2,bf16,native,20,1,online-r4-t256,hier-r4-t256,0,1,1.1395286851942144
numeric-contract,bf16:native,structured-2x2,bf16,native,15,1,online-r2-t256,online-r4-t256,0,1,1.2347995923913044
numeric-contract,bf16:native,fft,bf16,native,8,799,temporal-r2-t128,temporal-r4-t128,0,1,1.1911576139918962
numeric-contract,bf16:native,structured-2x2,bf16,native,20,2,hier-r4-t256,hier-r4-t256,1,1,1.0
numeric-contract,bf16:native,fft,bf16,native,8,1,temporal-r2-t128,temporal-r4-t128,0,1,1.5
numeric-contract,bf16:native,structured-2x2,bf16,native,8,1281,temporal-r2-t128,temporal-r4-t128,0,1,1.0241200117658593
numeric-contract,bf16:native,fft,bf16,native,15,6,online-r2-t256,online-r4-t256,0,1,1.2312989946410382
numeric-contract,bf16:native,fwht,bf16,native,8,960,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,bf16:native,structured-2x2,bf16,native,8,1280,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,bf16:native,fwht,bf16,native,15,7,online-r2-t256,online-r2-t256,1,1,1.0
numeric-contract,bf16:native,fft,bf16,native,8,1280,temporal-r2-t128,temporal-r2-t128,1,1,1.0
numeric-contract,bf16:native,fft,bf16,native,15,7,online-r2-t256,online-r4-t256,0,1,1.1759468957438501
numeric-contract,bf16:native,fwht,bf16,native,15,1,online-r2-t256,online-r4-t256,0,1,1.0252369180057685
numeric-contract,bf16:native,fwht,bf16,native,8,1,temporal-r4-t128,temporal-r4-t128,1,1,1.0
numeric-contract,bf16:native,fwht,bf16,native,15,8,online-r4-t256,hier-r4-t256,0,1,1.0277282771402096
numeric-contract,bf16:native,structured-2x2,bf16,native,8,1,temporal-r2-t128,temporal-r4-t128,0,1,1.2934027777777777
