trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix2,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,2.784608,0.388045,2.608928,10308.088023,108.088137,10808813706.942287,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix2,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,2.775296,0.387891,2.598208,10312.169926,108.130939,10813093892.761606,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix2,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,2.694304,0.387789,2.592448,10314.892992,108.159492,10815949233.707600,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix2,four-mul,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,5,20,2.775712,0.376986,2.599520,10610.484588,111.258995,11125899487.817499,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix2,four-mul,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,5,20,2.765120,0.377037,2.594624,10609.043719,111.243886,11124388626.340975,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix2,four-mul,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,5,20,2.777408,0.377088,2.600512,10607.603240,111.228782,11122878175.149019,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix4,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,2.783616,0.380723,2.599168,10506.321199,110.166763,11016676257.466995,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix4,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,2.779808,0.381133,2.603328,10495.030063,110.048366,11004836643.626629,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix4,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,2.778816,0.380723,2.605504,10506.321199,110.166763,11016676257.466995,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix4,four-mul,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,5,20,2.783520,0.372787,2.602304,10729.982791,112.512024,11251202435.186752,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix4,four-mul,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,5,20,2.781536,0.372992,2.633696,10724.091197,112.450247,11245024651.391462,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix4,four-mul,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,5,20,2.780512,0.372736,2.635328,10731.455843,112.527470,11252747042.169611,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix8,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,2.789184,0.380365,2.604800,10516.220067,110.270560,11027055973.088301,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix8,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,2.778784,0.380467,2.607200,10513.389681,110.240881,11024088098.035767,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix8,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,2.783744,0.380621,2.611680,10509.147780,110.196401,11019640142.533455,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix8,four-mul,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,5,20,2.777728,0.372941,2.604960,10725.562632,112.465676,11246567562.505350,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix8,four-mul,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,5,20,2.777664,0.373094,2.605760,10721.147826,112.419383,11241938302.857824,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,online-reorder,radix8,four-mul,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,5,20,2.766208,0.373248,2.597472,10716.734942,112.373111,11237311058.084137,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,online-reorder,radix2,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,5.462912,0.832000,5.102912,4807.692553,50.412310,5041231026.372979,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,online-reorder,radix2,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,5.458432,0.829389,5.105056,4822.828585,50.571023,5057102306.830373,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,online-reorder,radix2,four-mul,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,5.458912,0.832256,5.103680,4806.213362,50.396800,5039679982.678719,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,online-reorder,radix2,gauss3,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,5.463360,0.831130,5.111584,4812.726755,50.465098,5046509769.381360,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,online-reorder,radix2,gauss3,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,5.470112,0.829901,5.116512,4819.852815,50.539820,5053981985.300457,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,online-reorder,radix2,gauss3,0,named-barrier,128,10,1,0,0,20,1048576,4,1,1048576,5,20,5.467520,0.832563,5.104192,4804.439948,50.378204,5037820422.420154,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,online-reorder,radix2,four-mul,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,5,20,5.466720,0.825754,5.111104,4844.060198,50.793653,5079365266.342935,0.000000,-1
