device,compute_capability,backend,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,correct
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,32,18,262144,16,1073479681,30,9,4,256,0,50,200,2.807712,0.286172,2.619424,55910.401877,2800.439557,14656576389.611538,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,18,262144,16,1073479681,30,9,4,256,0,50,200,5.450752,0.473928,5.102080,33760.425456,1451.015618,8850092970.730534,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,18,262144,16,1073479681,30,9,4,256,0,50,200,5.465344,0.455526,5.103264,35124.200577,1452.004481,9207598436.036438,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,18,262144,16,1099510054913,40,9,4,256,0,50,200,5.462880,0.473364,5.098688,33800.593271,1450.398484,8860622722.339115,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,18,262144,16,1099510054913,40,9,4,256,0,50,200,5.467136,0.455916,5.102400,35094.219390,1450.987794,9199739047.714449,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,18,262144,16,1125899902124033,50,9,4,256,0,50,200,5.471200,0.472448,5.107104,33866.161551,1447.378440,8877811053.502729,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,18,262144,16,1125899902124033,50,9,4,256,0,50,200,5.455360,0.449644,5.091552,35583.744009,1454.965878,9328064989.506767,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,18,262144,16,1152921504606584833,60,9,4,256,0,50,200,5.459776,0.469238,5.103456,34097.853758,1450.081855,8938547775.423395,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,18,262144,16,1152921504606584833,60,9,4,256,0,50,200,5.453472,0.456294,5.096352,35065.079454,1453.091634,9192100188.451736,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,32,20,1048576,4,1053818881,30,10,4,256,0,50,200,2.817376,0.504509,2.620480,7928.493724,672.640017,8313628234.854679,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,32,20,1048576,4,1053818881,30,10,4,256,0,50,200,2.803424,0.481111,2.626048,8314.089337,677.203011,8717954540.533360,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,20,1048576,4,1053818881,30,10,4,256,0,50,200,5.509472,0.811904,5.107680,4926.690760,350.021547,5166009690.839526,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,20,1048576,4,1053818881,30,10,4,256,0,50,200,5.476320,0.795044,5.099808,5031.168810,351.926146,5275562865.646926,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,20,1048576,4,1099489607681,40,10,4,256,0,50,200,5.468960,0.809139,5.092256,4943.525217,351.800915,5183661897.641882,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,20,1048576,4,1099489607681,40,10,4,256,0,50,200,5.464160,0.789176,5.098016,5068.575643,352.417171,5314786773.902655,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,20,1048576,4,1125899865948161,50,10,4,256,0,50,200,5.467552,0.812723,5.100384,4921.724770,351.400439,5160802472.364352,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,20,1048576,4,1125899865948161,50,10,4,256,0,50,200,5.476160,0.792791,5.099872,5045.465519,351.780984,5290554051.839334,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,20,1048576,4,1152921504577486849,60,10,4,256,0,50,200,5.453824,0.809134,5.093696,4943.556535,352.201097,5183694737.005780,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,20,1048576,4,1152921504577486849,60,10,4,256,0,50,200,5.470944,0.792003,5.105664,5050.488734,351.773120,5295821274.670110,-1
