trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x512,4x4,table,direct-strided,global-scratch,2,128x512,4x4,shared,cufftdx-block,0,named-barrier,32,128,512,4,4,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.917184,0.425165,10.127040,150529.869033,78.921004,9865125496.976868,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x512,4x8,table,direct-strided,global-scratch,2,128x512,4x8,shared,cufftdx-block,0,named-barrier,32,128,512,4,8,2,16,8,1,0,0,16,65536,64,1,65536,100,50,10.923200,0.441795,10.121344,144863.717316,75.950309,9493788577.995995,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x512,4x8,table,direct-strided,global-scratch,2,128x512,4x8,shared,cufftdx-block,0,named-barrier,32,128,512,4,8,2,16,8,1,0,0,16,65536,64,1,65536,100,50,10.927968,0.441877,10.117664,144836.848933,75.936222,9492027731.684439,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x512,4x8,table,direct-strided,global-scratch,2,128x512,4x8,shared,cufftdx-block,0,named-barrier,32,128,512,4,8,2,16,8,1,0,0,16,65536,64,1,65536,100,50,10.925952,0.441856,10.125216,144843.569979,75.939746,9492468202.147991,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,8x4,table,direct-strided,global-scratch,2,128x128,8x4,shared,cufftdx-block,0,named-barrier,32,128,128,8,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.921760,0.421990,10.120512,151662.219852,79.514682,9939335240.207102,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,8x4,table,direct-strided,global-scratch,2,128x128,8x4,shared,cufftdx-block,0,named-barrier,32,128,128,8,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.915392,0.420250,10.126912,152290.455106,79.844058,9980507265.840242,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,8x4,table,direct-strided,global-scratch,2,128x128,8x4,shared,cufftdx-block,0,named-barrier,32,128,128,8,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.926304,0.422154,10.128896,151603.354318,79.483819,9935477428.565014,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,8x8,table,direct-strided,global-scratch,2,128x128,8x8,shared,cufftdx-block,0,named-barrier,32,128,128,8,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.909472,0.402063,10.128608,159178.887745,83.455581,10431947587.261679,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,8x8,table,direct-strided,global-scratch,2,128x128,8x8,shared,cufftdx-block,0,named-barrier,32,128,128,8,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.942080,0.401859,10.130144,159260.011023,83.498113,10437264082.424561,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,8x8,table,direct-strided,global-scratch,2,128x128,8x8,shared,cufftdx-block,0,named-barrier,32,128,128,8,8,4,4,8,1,0,0,16,65536,64,1,65536,100,50,10.913600,0.401981,10.119648,159211.329498,83.472590,10434073689.964582,0.000000,-1
