trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.468512,0.111616,5.109696,146788990.124590,150.311926,37577981471.894981,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.474592,0.110572,5.114016,148175590.027882,151.731804,37932951047.137672,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.481472,0.110715,5.111456,147983718.299046,151.535328,37883831884.555885,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.470976,0.110469,5.110976,148312933.307569,151.872444,37968110926.737755,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.512480,0.110612,5.106880,148120715.931585,151.675613,37918903278.485825,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.481760,0.110735,5.125440,147956357.141204,151.507310,37876827428.148201,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.487424,0.110653,5.109376,148065892.433118,151.619474,37904868462.878304,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.473792,0.112620,5.115616,145480987.910122,148.972532,37243132904.991203,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.473664,0.112415,5.118432,145746030.885239,149.243936,37310983906.621193,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,four-mul,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.474976,0.112558,5.114592,145560405.311078,149.053855,37263463759.636040,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.478784,0.112517,5.122272,145613398.433246,149.108120,37277029998.910858,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.510336,0.112497,5.142112,145639899.820942,149.135257,37283814354.161232,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix4,gauss3,0,named-barrier,256,0,0,0,0,8,256,16384,1,256,10,50,5.504320,0.112538,5.108960,145586897.049834,149.080983,37270245644.757561,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.493856,0.150589,5.109184,108799132.285482,111.410311,27852577865.083378,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.493216,0.150938,5.111552,108548166.866040,111.153323,27788330717.706177,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.482400,0.149545,5.131520,109559018.183815,112.188435,28047108655.056557,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,gauss3,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.488576,0.150344,5.124672,108976984.817223,111.592432,27898108113.209190,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,gauss3,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.517216,0.148521,5.108512,110314394.985970,112.961940,28240485116.408398,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,gauss3,0,named-barrier,32,0,0,0,0,8,256,16384,1,256,10,50,5.482848,0.151695,5.111968,108005943.336330,110.598086,27649521494.100407,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.510016,0.110469,5.141344,148312933.307569,151.872444,37968110926.737755,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.506720,0.110551,5.112032,148203032.337573,151.759905,37939976278.418724,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.474464,0.110838,5.110816,147819653.295796,151.367325,37841831243.723663,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,gauss3,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.495104,0.110961,5.111808,147655971.506392,151.199715,37799928705.636330,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,gauss3,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.494496,0.110858,5.109024,147792352.767677,151.339369,37834842308.525208,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,gauss3,0,named-barrier,64,0,0,0,0,8,256,16384,1,256,10,50,5.510272,0.110899,5.110912,147737762.101721,151.283468,37820867098.040604,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.519872,0.114340,5.112864,143292141.929789,146.731153,36682788334.026024,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,10,50,5.515360,0.114442,5.115200,143163917.472311,146.599851,36649962872.911499,0.000000,-1
