operator,logN,N,storage_word_bytes,butterflies_per_stage,Us,Ts,Ud,Td,batch,Ub,Tb,stage_utilization,data_utilization,batch_utilization,total_utilization,spatial_butterfly_cells,ideal_body_cycles,boundary_coefficient_words_per_cycle,interstage_coefficient_words_per_cycle,coefficient_streams_upper_bound,stage_feedback_folds,data_stream_folds,stage_feedback_bytes_above_residence,data_feedback_bytes_above_residence,stage_residence,data_residence,batch_residence,status,factorization_rank,dimension_stage_counts,precision,word_bits,accumulator_bits,operator_core,stage_group,arithmetic_core,coefficient_form,local_exchange,direction,normalization,placement,input_order,output_order,schedule,tail_policy,coefficient_residence,coefficient_sharing_scope,coefficient_schedule,elements_per_thread,units_per_cta,dimension_boundary,global_order,intermediate_permutation,bank_mapping,shared_padding,vector_width_bytes,alignment_bytes,kernel_form,threads_per_cta,warps_per_cta,ctas_per_work_unit,pipeline_buffers,async_copy,synchronization,specialization,selection_method,candidate_status,objective,element_stride,batch_stride,pipeline_initiation_interval,pipeline_depth
ntt,16,65536,4,32768,1,16,128,256,1,1,1,1.0,1.0,1.0,1.0,128,4096,256,0,128,15,255,0,0,shared,shared,global,abstract,1,16,uint32,32,64,radix2,radix2,scalar,native-table,thread-register,forward,none,out-of-place,natural,natural,stage-major,predicate,immediate,cell,preload,1,1,none,natural,none,linear,0,4,4,baseline,32,1,1,1,none,none,runtime-generic,manual,abstract,latency,1,1,1,1
ntt,16,65536,4,32768,2,8,64,512,1,1,1,1.0,1.0,1.0,1.0,128,4096,128,128,128,7,511,0,0,shared,shared,global,abstract,1,16,uint32,32,64,radix2,radix2,scalar,native-table,thread-register,forward,none,out-of-place,natural,natural,stage-major,predicate,immediate,cell,preload,1,1,none,natural,none,linear,0,4,4,baseline,32,1,1,1,none,none,runtime-generic,manual,abstract,latency,1,1,1,1
ntt,16,65536,4,32768,4,4,32,1024,1,1,1,1.0,1.0,1.0,1.0,128,4096,64,192,128,3,1023,0,0,shared,shared,global,abstract,1,16,uint32,32,64,radix2,radix2,scalar,native-table,thread-register,forward,none,out-of-place,natural,natural,stage-major,predicate,immediate,cell,preload,1,1,none,natural,none,linear,0,4,4,baseline,32,1,1,1,none,none,runtime-generic,manual,abstract,latency,1,1,1,1
ntt,16,65536,4,32768,8,2,16,2048,1,1,1,1.0,1.0,1.0,1.0,128,4096,32,224,128,1,2047,0,0,shared,shared,global,abstract,1,16,uint32,32,64,radix2,radix2,scalar,native-table,thread-register,forward,none,out-of-place,natural,natural,stage-major,predicate,immediate,cell,preload,1,1,none,natural,none,linear,0,4,4,baseline,32,1,1,1,none,none,runtime-generic,manual,abstract,latency,1,1,1,1
ntt,16,65536,4,32768,16,1,8,4096,1,1,1,1.0,1.0,1.0,1.0,128,4096,16,240,128,0,4095,0,0,shared,shared,global,abstract,1,16,uint32,32,64,radix2,radix2,scalar,native-table,thread-register,forward,none,out-of-place,natural,natural,stage-major,predicate,immediate,cell,preload,1,1,none,natural,none,linear,0,4,4,baseline,32,1,1,1,none,none,runtime-generic,manual,abstract,latency,1,1,1,1
