rank,operator,precision,direction,normalization,placement,stage_matrices,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
23,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,2.156083,2.155919,2.156370,9.726675,15.784957
24,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,10,1024,4096,1,1024,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,2.157588,2.157435,2.157599,9.719889,15.795975
1,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.273521,0.273408,0.273582,115.008794,1.000000
2,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.274698,0.274596,0.274749,114.515773,1.004303
3,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.274708,0.274606,0.274749,114.511500,1.004340
4,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.274801,0.274780,0.274852,114.473088,1.004680
5,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.280013,0.279726,0.280044,112.342298,1.023735
6,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.282665,0.282655,0.282798,111.288221,1.033431
7,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.318484,0.318464,0.318525,98.771782,1.164386
8,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.319918,0.319918,0.319939,98.329176,1.169629
9,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.320502,0.320471,0.320563,98.150105,1.171764
10,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.320666,0.320655,0.320686,98.099953,1.172363
11,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.321423,0.321249,0.321434,97.868674,1.175131
12,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.324260,0.324250,0.324403,97.012566,1.185503
13,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.326369,0.326318,0.330660,96.385541,1.193214
14,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.335657,0.335585,0.335718,93.718536,1.227171
15,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.337777,0.337705,0.337828,93.130421,1.234922
16,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.339927,0.339835,0.339978,92.541276,1.242782
17,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.353505,0.353454,0.353536,88.986732,1.292424
18,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.353516,0.353485,0.353526,88.984159,1.292464
19,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.356157,0.356147,0.356178,88.324082,1.302119
20,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.356669,0.356516,0.356680,88.197299,1.303991
21,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.360591,0.360581,0.360602,87.238032,1.318330
22,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.365476,0.365435,0.365476,86.072121,1.336190
23,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.365885,0.365814,0.365906,85.975764,1.337685
24,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.369521,0.369500,0.369633,85.129969,1.350979
25,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.370422,0.370360,0.370616,84.922871,1.354273
26,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.385546,0.385434,0.385772,81.591459,1.409566
27,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.401070,0.401029,0.401091,78.433373,1.466323
28,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.486717,0.486697,0.486717,64.631501,1.779450
29,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.486953,0.486902,0.487332,64.600244,1.780313
30,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.487086,0.487014,0.487107,64.582592,1.780799
31,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.492861,0.492861,0.492861,63.825807,1.801913
32,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.519629,0.519547,0.519660,60.537988,1.899777
33,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.527565,0.527350,0.527585,59.627327,1.928792
34,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.539075,0.538921,0.539177,58.354231,1.970872
35,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.550687,0.550574,0.550728,57.123731,2.013326
36,structured-2x2,fp32,forward,none,out-of-place,1:0.25:-0.5:1,15,32768,128,1,32768,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,0.570358,0.570348,0.570368,55.153595,2.085244
