suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,library,library_version,plan_ms,max_abs_error,relative_l2_error
fft18_cub,fft-fp32-fwd-log18,quick,butterfly,cuButterfly-auto-vectorized,0,2,16,1,0.000512,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,1,online-reorder,auto,four-mul,recurrence,direct-strided,2,9x9,256x256,8x8,recurrence,direct-strided,global-scratch,2,256x256,8x8,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,18,262144,16,1,262144,1000,100,5.520640,0.195942,5.114336,81656.649332,192.652206,21405800682.389072,0.000000,-1,,,,,,
fft18_cub,fft-fp32-fwd-log18,quick,butterfly,cuButterfly-auto-vectorized,0,5,16,1,0.000512,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,1,online-reorder,auto,four-mul,recurrence,direct-strided,2,9x9,256x256,8x8,recurrence,direct-strided,global-scratch,2,256x256,8x8,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,18,262144,16,1,262144,1000,100,5.513280,0.195758,5.112288,81733.537884,192.833609,21425956555.003986,0.000000,-1,,,,,,
fft18_cub,fft-fp32-fwd-log18,quick,butterfly,cuButterfly-auto-vectorized,0,3,16,1,0.000512,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,1,online-reorder,auto,four-mul,recurrence,direct-strided,2,9x9,256x256,8x8,recurrence,direct-strided,global-scratch,2,256x256,8x8,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,18,262144,16,1,262144,1000,100,5.497792,0.196137,5.107552,81575.653552,192.461113,21384568124.805202,0.000000,-1,,,,,,
fft20_cub,fft-fp32-fwd-log20,quick,butterfly,cuButterfly-auto-vectorized,0,4,4,1,0.001242,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,1,online-reorder,auto,four-mul,recurrence,direct-strided,2,10x10,512x512,8x8,recurrence,direct-strided,global-scratch,2,512x512,8x8,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,20,1048576,4,1,1048576,1000,100,5.460224,0.213985,5.096608,18692.875947,196.009011,19600901088.657429,0.000000,-1,,,,,,
fft20_vkfft,fft-fp32-fwd-log20,quick,fft-library,VkFFT,0,1,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.206632957,,19357.996230305,202.983302552,20298330255.187908173,,-1,,vkfft,10304,1031.626006000,0.000000000,0.000000000
fft20_cufft,fft-fp32-fwd-log20,quick,fft-library,cuFFT,1,5,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.210421756,,19009.441218200,199.328438348,19932843834.815044403,,-1,,cufft,10900,2.361036000,0.000000000,0.000000000
fft18_cufft,fft-fp32-fwd-log18,quick,fft-library,cuFFT,1,3,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,262144,16,1,262144,1000,100,,0.211077124,,75801.677158852,178.838593714,19870954857.130027771,,-1,,cufft,10900,2.333650000,0.000000000,0.000000000
fft18_vkfft,fft-fp32-fwd-log18,quick,fft-library,VkFFT,0,4,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,262144,16,1,262144,1000,100,,0.201287687,,79488.220329773,187.536240271,20837360030.128097534,,-1,,vkfft,10304,382.376958000,0.000000000,0.000000000
fft18_vkfft,fft-fp32-fwd-log18,quick,fft-library,VkFFT,0,2,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,262144,16,1,262144,1000,100,,0.201052144,,79581.344760424,187.755948368,20861772040.876701355,,-1,,vkfft,10304,440.183302000,0.000000000,0.000000000
fft20_vkfft,fft-fp32-fwd-log20,quick,fft-library,VkFFT,0,2,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.206653446,,19356.076940482,202.963177339,20296317733.943321228,,-1,,vkfft,10304,964.038935000,0.000000000,0.000000000
fft20_vkfft,fft-fp32-fwd-log20,quick,fft-library,VkFFT,0,3,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.206059515,,19411.867444003,203.548183170,20354818316.962890625,,-1,,vkfft,10304,792.400092000,0.000000000,0.000000000
fft20_cufft,fft-fp32-fwd-log20,quick,fft-library,cuFFT,1,1,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.210257918,,19024.253853781,199.483760090,19948376008.981891632,,-1,,cufft,10900,2.309559000,0.000000000,0.000000000
fft20_cufft,fft-fp32-fwd-log20,quick,fft-library,cuFFT,1,4,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.210462719,,19005.741326377,199.289642170,19928964217.047481537,,-1,,cufft,10900,2.080110000,0.000000000,0.000000000
fft18_cufft,fft-fp32-fwd-log18,quick,fft-library,cuFFT,1,2,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,262144,16,1,262144,1000,100,,0.211527675,,75640.220460429,178.457669571,19828629952.378597260,,-1,,cufft,10900,2.305685000,0.000000000,0.000000000
fft18_cub,fft-fp32-fwd-log18,quick,butterfly,cuButterfly-auto-vectorized,0,4,16,1,0.000512,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,1,online-reorder,auto,four-mul,recurrence,direct-strided,2,9x9,256x256,8x8,recurrence,direct-strided,global-scratch,2,256x256,8x8,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,18,262144,16,1,262144,1000,100,5.523456,0.195389,5.117408,81887.737711,193.197412,21466379114.449234,0.000000,-1,,,,,,
fft18_cub,fft-fp32-fwd-log18,quick,butterfly,cuButterfly-auto-vectorized,0,1,16,1,0.000512,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,1,online-reorder,auto,four-mul,recurrence,direct-strided,2,9x9,256x256,8x8,recurrence,direct-strided,global-scratch,2,256x256,8x8,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,18,262144,16,1,262144,1000,100,5.531936,0.195983,5.124160,81639.588146,192.611954,21401328194.833725,0.000000,-1,,,,,,
fft18_vkfft,fft-fp32-fwd-log18,quick,fft-library,VkFFT,0,5,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,262144,16,1,262144,1000,100,,0.201072633,,79573.235502406,187.736816228,20859646247.542640686,,-1,,vkfft,10304,336.182779000,0.000000000,0.000000000
