label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
fine_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,671.5840000000001,42.70330810546875,26.044464111328125,9462529.0,2359322.0,11.95,,,,,32726724.0,,434808673.0,,,,,18.32,30.98,10.12,33.83,,80.0,33024.0,1.0,3.0,2.0,8.0
output4_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,668.8000000000001,42.58074951171875,26.03277587890625,9459854.0,2359322.0,11.97,,,,,32691876.0,,430500940.0,,,,,18.32,30.4,10.06,34.34,,80.0,33024.0,1.0,3.0,2.0,8.0
publish2_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,704.48,42.60614013671875,26.27593994140625,9476652.0,2359322.0,11.41,,,,,33332971.0,,428923652.0,,,,,18.19,30.47,10.47,35.52,,82.0,33024.0,1.0,2.0,2.0,8.0
publish2_output4_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,726.624,41.2296142578125,25.58349609375,9456991.0,1048602.0,10.73,,,,,34014042.0,,447530553.0,,,,,17.85,30.57,11.46,34.16,,80.0,33024.0,1.0,3.0,2.0,8.0
fine_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,1912.192,226.66635131835938,99.640869140625,37945101.0,9437282.0,19.91,,,,,131411329.0,,1733083858.0,,,,,23.13,29.21,8.24,31.85,,80.0,33024.0,1.0,3.0,2.0,8.0
output4_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,1954.912,226.92630004882812,101.3638916015625,37890331.0,9437282.0,19.6,,,,,131353906.0,,1715805313.0,,,,,23.16,31.13,8.1,32.25,,80.0,33024.0,1.0,3.0,2.0,8.0
publish2_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,1980.064,226.875732421875,100.06695556640625,37892634.0,9437282.0,19.27,,,,,133537567.0,,1709885782.0,,,,,23.1,30.53,8.5,33.71,,82.0,33024.0,1.0,2.0,2.0,8.0
publish2_output4_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,2144.896,257.8584899902344,98.43084716796875,37899959.0,4194402.0,19.38,,,,,136023162.0,,1783394785.0,,,,,22.88,28.69,8.92,35.6,,80.0,33024.0,1.0,3.0,2.0,8.0
