word_bits,batch,role,kernel_ms,v06_ms,tasks,wait_us_per_task,compute_us_per_task,boundary_us_per_task,span_us,start_delay_us,work_conserving_lower_bound_ms,measured_pipeline_efficiency,wait_share,online_over_v06,lower_bound_over_v06
32,1,0,0.303309,0.14807,64.0,0.0,59.104,3.904,63.488,0.0,0.079104,0.2608033391689663,0.5389091994329628,0.4881820189971284,1.8718396035598708
32,1,1,0.303309,0.14807,64.0,64.112,102.112,42.48,193.536,63.488,0.079104,0.2608033391689663,0.5389091994329628,0.4881820189971284,1.8718396035598708
32,1,2,0.303309,0.14807,128.0,141.296,42.568,1.952,197.632,98.304,0.079104,0.2608033391689663,0.5389091994329628,0.4881820189971284,1.8718396035598708
32,4,0,0.881459,0.352461,256.0,0.0,122.152,7.692,512.0,0.0,0.46211413333333334,0.5242604968958662,0.26232768484716396,0.39986091241906885,0.7627141750840197
32,4,1,0.881459,0.352461,256.0,23.092,148.844,47.2,757.76,68.608,0.46211413333333334,0.5242604968958662,0.26232768484716396,0.39986091241906885,0.7627141750840197
32,4,2,0.881459,0.352461,512.0,65.486,50.856,2.816,736.256,132.096,0.46211413333333334,0.5242604968958662,0.26232768484716396,0.39986091241906885,0.7627141750840197
64,1,0,0.672358,0.229581,64.0,0.0,155.328,5.904,162.816,0.0,0.2384832,0.354696753812701,0.3209476082004556,0.3414564859791956,0.9626715844134933
64,1,1,0.672358,0.229581,64.0,162.144,199.76,44.048,328.704,159.744,0.2384832,0.354696753812701,0.3209476082004556,0.3414564859791956,0.9626715844134933
64,1,2,0.672358,0.229581,128.0,59.824,93.824,1.76,430.08,234.496,0.2384832,0.354696753812701,0.3209476082004556,0.3414564859791956,0.9626715844134933
64,4,0,1.93495,0.613581,256.0,0.0,216.324,6.848,1598.464,0.0,1.1088768,0.5730777539471305,0.343669740061973,0.3171043179410321,0.5533355914741837
64,4,1,1.93495,0.613581,256.0,106.032,218.9,37.804,1668.096,156.672,1.1088768,0.5730777539471305,0.343669740061973,0.3171043179410321,0.5533355914741837
64,4,2,1.93495,0.613581,512.0,128.432,104.002,2.584,1458.176,470.016,1.1088768,0.5730777539471305,0.343669740061973,0.3171043179410321,0.5533355914741837
