word_bits,batch,variant,kernel_ms,trials,throughput_vs_v06
32,4,natural-fw16-wt4-r8-14-2,0.967168,1,0.35984647961884597
32,4,natural-fw16-wt4-r9-11-2,1.012736,1,0.34365520728008087
32,4,natural-fw32-wt1-r7-13-2,0.892416,1,0.38998852553069424
32,4,natural-fw32-wt1-r8-12-1,1.197312,1,0.2906777849048536
32,4,natural-fw32-wt1-r8-12-2,0.827904,1,0.42037724180581326
32,4,natural-fw32-wt1-r8-12-3,0.838144,1,0.41524129505192425
32,4,natural-fw32-wt1-r8-14-2,0.876416,1,0.3971082225792318
32,4,natural-fw32-wt1-r9-11-2,0.917376,1,0.3793777033626343
32,4,natural-fw32-wt2-r7-13-2,0.896896,1,0.38804053089767376
32,4,natural-fw32-wt2-r8-12-1,1.1808,1,0.29474254742547423
32,4,natural-fw32-wt2-r8-12-2,0.826624,1,0.42102818209972126
32,4,natural-fw32-wt2-r8-12-3,0.844288,1,0.41221952698605213
32,4,natural-fw32-wt2-r8-14-2,0.879616,1,0.39566356228172295
32,4,natural-fw32-wt2-r9-11-2,0.921216,1,0.377796304015562
32,4,natural-fw32-wt4-r7-13-2,0.877824,1,0.3964712744240303
32,4,natural-fw32-wt4-r8-12-1,1.182336,1,0.29435964057594455
32,4,natural-fw32-wt4-r8-12-2,0.822272,1,0.4232565379825654
32,4,natural-fw32-wt4-r8-12-3,0.84864,1,0.41010558069381603
32,4,natural-fw32-wt4-r8-14-2,0.873216,1,0.3985634711228379
32,4,natural-fw32-wt4-r9-11-2,0.921216,1,0.377796304015562
32,4,natural-fw8-wt1-r7-13-2,1.138048,1,0.30581486896862
32,4,natural-fw8-wt1-r8-12-1,1.664128,1,0.20913775863395123
32,4,natural-fw8-wt1-r8-12-2,1.054848,1,0.32993568741657564
32,4,natural-fw8-wt1-r8-12-3,0.972672,1,0.35781023818923546
32,4,natural-fw8-wt1-r8-14-2,1.146368,1,0.3035953550692273
32,4,natural-fw8-wt1-r9-11-2,1.16096,1,0.2997794928335171
32,4,natural-fw8-wt2-r7-13-2,1.1328,1,0.3072316384180791
32,4,natural-fw8-wt2-r8-12-1,1.683072,1,0.20678378583922732
32,4,natural-fw8-wt2-r8-12-2,1.071872,1,0.3246954860281825
32,4,natural-fw8-wt2-r8-12-3,0.976512,1,0.35640319832219164
32,4,natural-fw8-wt2-r8-14-2,1.14624,1,0.30362925739810165
32,4,natural-fw8-wt2-r9-11-2,1.169792,1,0.2975161396214028
32,4,natural-fw8-wt4-r7-13-2,1.126144,1,0.3090475107979086
32,4,natural-fw8-wt4-r8-12-1,1.647872,1,0.21120086997048315
32,4,natural-fw8-wt4-r8-12-2,1.060992,1,0.3280250934974062
32,4,natural-fw8-wt4-r8-12-3,0.971008,1,0.35842341154758767
32,4,natural-fw8-wt4-r8-14-2,1.14176,1,0.30482062780269054
32,4,natural-fw8-wt4-r9-11-2,1.161216,1,0.29971340388007056
32,4,static-fw16,0.583552,1,0.5964027198947138
32,4,static-fw32,0.574208,1,0.6061078912171199
32,4,static-fw8,0.579456,1,0.6006185111552905
32,4,v06,0.348032,1,1.0
64,1,natural-fw16-wt1-r10-10-1,0.642432,1,0.3558477784419207
64,1,natural-fw16-wt1-r10-10-2,0.481664,1,0.47462131278235453
64,1,natural-fw16-wt1-r10-12-2,0.5088,1,0.4493081761006289
64,1,natural-fw16-wt1-r11-9-2,0.476416,1,0.4798495432563138
64,1,natural-fw16-wt1-r9-11-2,0.495232,1,0.46161798914448177
64,1,natural-fw16-wt2-r10-10-1,0.642304,1,0.3559186927062575
64,1,natural-fw16-wt2-r10-10-2,0.484608,1,0.4717379820390914
64,1,natural-fw16-wt2-r10-12-2,0.512512,1,0.4460539460539461
64,1,natural-fw16-wt2-r11-9-2,0.47808,1,0.4781793842034806
