word_bits,flow_tile_log_n,stage_space,data_time,role_stages,target_ctas_per_sm,token_interleave,registers_per_thread,stack_bytes,local_bytes
64,7,7,8,1,1,1,60,0,0
64,8,2,1,1,1,1,50,0,0
64,8,2,2,1,1,1,56,0,0
64,8,2,4,1,1,1,58,0,0
64,8,2,8,1,1,1,60,0,0
64,8,4,1,1,1,1,50,0,0
64,8,4,2,1,1,1,56,0,0
64,8,4,4,1,1,1,58,0,0
64,8,4,8,1,1,1,60,0,0
64,8,8,1,1,1,1,40,0,0
64,8,8,1,2,1,1,138,64,0
64,8,8,1,4,1,1,143,64,0
64,8,8,1,8,1,1,131,64,0
64,8,8,2,1,1,1,56,0,0
64,8,8,4,1,1,1,58,0,0
64,8,8,8,1,1,1,60,0,0
