implementation,batch1_us,batch4_us,fixed_us,steady_us_per_transform,fixed_share_batch1_pct,fixed_share_batch4_pct,global_load_sector_ratio_b1,global_store_sector_ratio_b1,warp_instruction_ratio_b1,integer_instruction_ratio_b1,dram_peak_pct_b1,active_warps_pct_b1,barrier_stall_pct_b1,wait_stall_pct_b1,long_scoreboard_stall_pct_b1,registers_per_thread,shared_mem_bytes,waves_per_sm
barrier,155.36,530.112,30.442666666666696,124.91733333333332,19.594919327154155,5.742685822367103,1.0,1.0,1.0,1.0,35.21,22.91,15.13,14.55,37.47,48.0,32800.0,1.0
resident-10+10,227.84,602.528,102.944,124.896,45.18258426966292,17.085347071007487,1.0150125332706224,1.0000057220458984,1.25677741975567,1.035574215881881,24.29,23.47,2.82,15.27,21.77,48.0,32816.0,1.0
APPT Us8 role1,2143.328,8055.808,172.50133333333338,1970.8266666666666,8.048293743810252,2.141328757256049,3.665650287009225,4.000953674316406,13.531117532238229,5.262169564899416,10.89,25.0,39.13,17.32,8.94,125.0,28728.0,1.0
APPT Us8 role2,2992.128,11388.416000000001,193.36533333333318,2798.762666666667,6.462468628793059,1.6979124518575117,3.6914600725807314,4.000724792480469,9.288226613999976,3.6637056354594835,4.84,12.5,39.7,17.55,13.62,142.0,12312.0,0.67
APPT Us7 role2 rep2 group2,659.424,2282.2400000000002,118.48533333333319,540.9386666666668,17.968004399799398,5.191624602729475,3.5586712060801062,4.001804351806641,3.8615968982988202,2.0599698726845883,24.04,25.0,24.21,18.44,30.76,116.0,24600.0,1.0
