Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
482047728,526268,620,None,None,None,None,None,None,None,None,None,2.423,4603.746,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
482583692,1312,622,None,None,None,None,None,None,None,None,None,0.000,6.098,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
482770667,1312,645,None,None,None,None,None,None,None,None,None,0.000,6.098,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
601065524,5379002,667,None,None,None,None,None,None,None,None,None,33.554,6207.570,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
606518797,124735,674,512,1,1,8,64,1,64,0.000,0.066,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void regular_fft<(unsigned int)1024, (unsigned int)16, (unsigned int)8, (unsigned int)1, (padding_t)0, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, float>(kernel_arguments_t<T9>)"
606644524,122623,675,512,1,1,8,64,1,64,0.000,0.066,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void regular_fft<(unsigned int)1024, (unsigned int)16, (unsigned int)8, (unsigned int)1, (padding_t)0, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)1, unsigned int, float>(kernel_arguments_t<T9>)"
606792588,5020445,680,None,None,None,None,None,None,None,None,None,33.554,6677.332,Device,Pageable,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy DtoH]
