Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
56.3,382942,1,382942.0,382942.0,382942,382942,0.0,4096    1    1, 256    1    1,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>, (unsigned int)10, (bool)1, (bool)1>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned long, unsigned long, T1)"
43.7,297726,1,297726.0,297726.0,297726,297726,0.0,4096    1    1, 256    1    1,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>, (unsigned int)10, (bool)1>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, unsigned int, T1)"
