Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
429957314,1345270,109,None,None,None,None,None,None,None,None,None,8.389,6232.730,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
526799266,5377114,113,None,None,None,None,None,None,None,None,None,33.554,6207.570,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
537798485,382942,119,4096,1,1,256,1,1,30,0.000,0.008,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>, (unsigned int)10, (bool)1, (bool)1>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned long, unsigned long, T1)"
538187667,297726,121,4096,1,1,256,1,1,32,0.000,0.008,None,,None,None,Tesla V100-SXM2-16GB (0),1,7,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex32, float>, (unsigned int)10, (bool)1>(const T1::Value *, T1::Value *, unsigned long, unsigned int, unsigned int, unsigned long, unsigned long, unsigned int, T1)"
538508401,5017277,127,None,None,None,None,None,None,None,None,None,33.554,6677.332,Device,Pageable,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy DtoH]
