word_bits,logN,batch,v06_hybrid2d_ms,v06_resident_ms,v06_selected,v06_best_ms,v07_full_ms,v07_resident_generic_ms,v07_resident_core_ms,mg_selected,mg_best_ms,lowering_speedup,core_speedup,mg_best_vs_v06,v07_core_vs_v06,v07_core_vs_v06_resident,trials
32,12,1,0.009216,,v06_hybrid2d,0.009216,0.04096,0.024576,0.034816,v07_resident_generic,0.024576,1.6666666666666667,0.7058823529411765,0.375,0.2647058823529412,,1
64,12,1,0.011776,,v06_hybrid2d,0.011776,0.041984,0.023552,0.023552,v07_resident_generic,0.023552,1.7826086956521738,1.0,0.5,0.5,,1
