label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
barrier_n15_b2,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned long,",128,256,20.928,0.331939697265625,0.051055908203125,,,,,,,,1089519.0,,25124482.0,,,,,19.96,57.47,14.67,18.25,0.05,40.0,8224.0,0.27,6.0,7.0,8.0
streaming_n15_b2,0,void cuntt::<unnamed>::hierarchical_streaming_kernel<unsigned long>,160,256,64.928,0.798126220703125,0.949066162109375,,,,,,,,7682656.0,,94031925.0,,,,,21.48,1.43,21.24,24.33,0.06,82.0,2048.0,1.0,2.0,4.0,8.0
barrier_n20_b4,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned long,",160,256,539.744,128.417236328125,64.75244140625,,,,,,,,75165149.0,,1903720105.0,,,,,24.27,6.11,14.93,44.35,1.01,48.0,32800.0,1.0,5.0,2.0,8.0
streaming_wave_n20_b4,0,void cuntt::<unnamed>::hierarchical_streaming_kernel<unsigned long>,160,256,1627.776,414.87469482421875,117.36773681640625,,,,,,,,164130348.0,,2920474845.0,,,,,23.13,0.05,12.51,49.29,0.16,82.0,8192.0,1.0,2.0,2.0,8.0
streaming_specialized_n20_b4,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned long,",160,256,617.44,129.01449584960938,64.87274169921875,,,,,,,,75540787.0,,1897780186.0,,,,,24.67,15.79,14.36,32.8,0.6,48.0,32800.0,1.0,5.0,2.0,8.0
barrier_w32_n20_b4,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned int,",400,256,268.35200000000003,58.14959716796875,32.692352294921875,,,,,,,,44209282.0,,1027573559.0,,,,,56.72,15.7,8.58,35.52,7.19,38.0,16400.0,1.0,6.0,5.0,8.0
streaming_specialized_w32_n20_b4,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,357.76,62.53778076171875,33.33905029296875,,,,,,,,44550469.0,,1025583851.0,,,,,47.96,20.59,8.98,34.24,4.67,40.0,16400.0,0.8,6.0,5.0,8.0
