batch,mode,kernel_ms,trials
16,aggregate,1.084969,3
16,interleaved,1.144689,3
16,interleaved_folded,1.151406,3
16,warp_rows,1.12554,3
16,warp_rows_folded,1.121423,3
32,aggregate,2.420122,3
32,interleaved,2.461184,3
32,interleaved_folded,2.453934,3
32,warp_rows,2.447933,3
32,warp_rows_folded,2.44908,3
64,aggregate,4.965192,3
64,interleaved,5.016351,3
64,interleaved_folded,5.013852,3
64,warp_rows,5.006582,3
64,warp_rows_folded,5.013299,3
