trial,variant,scan_roles,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
2,resident-quarter,8-10-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.782784,0.413235,0.413619,0.000384,8,10,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.736864,2419.929450,517.361851,2537479942.756720,fused,shoup,-1
2,resident-quarter,10-8-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.793728,0.364493,0.364917,0.000424,10,8,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.750208,2743.538390,523.991249,2876808510.438418,fused,shoup,-1
2,resident-quarter,12-8-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.791328,0.379494,0.379944,0.000450,12,8,2,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.747104,2635.085005,521.396441,2763086894.632432,fused,shoup,-1
2,resident-quarter,14-6-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.790240,0.384666,0.385064,0.000398,14,6,2,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.750048,2599.660532,519.493047,2725941641.481724,fused,shoup,-1
1,v06,9-11,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,3,20,2.814336,0.346778,0.347201,0.000424,0,0,0,0,0,7,natural,natural,"",2.628576,11534.769815,690.883310,12095082794.040457,fused,shoup,-1
1,writer-final,6-12-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","7+7+6","ring+ring","2+2",8,0,3,20,2.819424,0.510054,0.510509,0.000455,6,12,4,8,2,7,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",2.626528,7842.300597,671.590956,8223248190.480799,fused,shoup,-1
1,resident-2d,12-8-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","7+7+6","ring+ring","2+2",8,0,3,20,2.818176,1.353472,1.353856,0.000384,12,8,2,8,2,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",2.625760,2955.362221,588.459592,3098921896.687842,fused,shoup,-1
1,resident-quarter,8-10-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","7+7+6","ring+ring","2+2",8,0,3,20,2.812864,0.972698,0.973121,0.000423,8,10,4,8,2,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",2.626720,4112.274910,623.802919,4312032776.302797,fused,shoup,-1
1,resident-quarter,10-8-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","7+7+6","ring+ring","2+2",8,0,3,20,2.817664,0.983347,0.983780,0.000433,10,8,4,8,2,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",2.627168,4067.739095,622.260199,4265333588.902152,fused,shoup,-1
1,resident-quarter,12-8-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,4,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","7+7+6","ring+ring","2+2",8,0,3,20,2.817984,0.999526,0.999973,0.000447,12,8,2,8,2,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",2.630560,4001.895372,620.340621,4196291441.288977,fused,shoup,-1
