word_bits,batch,variant,producer_dt,consumer_dt,weights,resident_ctas,kernel_ms,trials,throughput_vs_v06
64,1,homogeneous,4,1,9-11,2,0.259379,2,0.8841309435227986
64,1,v06,1,1,9-11,2,0.229325,4,1.0
64,4,homogeneous,1,1,10-10,2,0.622285,2,0.9848606345966882
64,4,homogeneous,1,1,8-12,2,0.6273025,2,0.9769831939136223
64,4,homogeneous,1,1,9-11,2,0.61312,2,0.9995824634655534
64,4,homogeneous,1,2,10-10,2,0.810342,2,0.7563028943335037
64,4,homogeneous,1,2,8-12,2,0.765747,2,0.800347895584312
64,4,homogeneous,1,2,9-11,2,0.7809025,2,0.7848150057145419
64,4,homogeneous,1,4,10-10,2,0.9339394999999999,2,0.6562138125649468
64,4,homogeneous,1,4,8-12,2,0.9076735,2,0.6752031429803779
64,4,homogeneous,1,4,9-11,2,0.8762369999999999,2,0.6994272097617427
64,4,homogeneous,2,1,10-10,2,0.828621,2,0.7396191986444949
64,4,homogeneous,2,1,8-12,2,0.761139,2,0.8051932695604878
64,4,homogeneous,2,1,9-11,2,0.795187,2,0.770716825099002
64,4,homogeneous,2,2,10-10,2,0.8524285,2,0.7189623528542277
64,4,homogeneous,2,2,8-12,2,0.7818240000000001,2,0.7838899803536346
64,4,homogeneous,2,2,9-11,2,0.7934464999999999,2,0.7724074654056702
64,4,homogeneous,4,1,10-10,2,0.9889794999999999,2,0.6196933303470903
64,4,homogeneous,4,1,8-12,2,0.9270784999999999,2,0.6610702329953722
64,4,homogeneous,4,1,9-11,2,0.955085,2,0.6416852950260973
64,4,v06,1,1,9-11,2,0.6128640000000001,4,1.0
64,16,homogeneous,1,1,10-10,2,1.995059,2,0.9253197524484239
64,16,homogeneous,1,1,8-12,2,2.1130240000000002,2,0.873661397125636
64,16,homogeneous,1,1,9-11,2,1.8999804999999999,2,0.9716244456193104
64,16,homogeneous,1,2,10-10,2,2.4607745000000003,2,0.7501977527806793
64,16,homogeneous,1,2,8-12,2,2.225152,2,0.8296365821301196
64,16,homogeneous,1,2,9-11,2,2.363648,2,0.7810247126475685
64,16,homogeneous,1,4,10-10,2,2.5348604999999997,2,0.7282718319213227
64,16,homogeneous,1,4,8-12,2,2.3271935,2,0.7932591338021527
64,16,homogeneous,1,4,9-11,2,2.4374785,2,0.7573677060125863
64,16,homogeneous,2,1,10-10,2,2.5103875,2,0.7353715312875003
64,16,homogeneous,2,1,8-12,2,2.1987325,2,0.8396053180639299
64,16,homogeneous,2,1,9-11,2,2.3412740000000003,2,0.788488446888318
64,16,homogeneous,2,2,10-10,2,2.501939,2,0.7378547198792615
64,16,homogeneous,2,2,8-12,2,2.2117375,2,0.8346684450573362
64,16,homogeneous,2,2,9-11,2,2.3626750000000003,2,0.7813463552964329
64,16,homogeneous,4,1,10-10,2,2.6504705,2,0.6965055826880548
64,16,homogeneous,4,1,8-12,2,2.339328,2,0.7891443611156708
64,16,homogeneous,4,1,9-11,2,2.4873475000000003,2,0.7421831891201369
64,16,v06,1,1,9-11,2,1.8460675,4,1.0
