case_id,batch,v06_best_ms,v07_best_ms,v07_variant,v07_vs_v06,td6_ms,td12_ms,td_spread_pct,cta_waves,last_wave_fill
n12_u32,80,0.018872,0.017902,td12,1.0541838900681488,0.017906,0.017902,0.022343872193042458,1,0.5
n12_u32,160,0.03132,0.027673,td12,1.1317891085173275,0.027689,0.027673,0.05781808983484904,1,1.0
n12_u32,256,0.048912,0.056918,td6,0.8593415088372746,0.056918,0.056949,0.05443466961666532,2,0.6
n12_u32,512,0.085256,0.098488,td12,0.8656486069368856,0.099375,0.098488,0.900617334091458,4,0.2
n20_u32_b16,16,1.014657,1.085352,packet,0.9348644495057823,,,,,
