label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
hybrid2d_w32_n20_b4,0,hybrid2d_first_pass,2048,512,164.928,16.012054443359375,16.41705322265625,,,,,,,,23461888.0,,517999616.0,,,,,93.47,14.06,10.76,32.0,8200.0,6.4,4.0,7.0,4.0
hybrid2d_w32_n20_b4,1,hybrid2d_second_pass,2048,512,161.92000000000002,47.990875244140625,16.59161376953125,,,,,,,,23756800.0,,525339648.0,,,,,93.35,11.95,21.46,32.0,8200.0,6.4,4.0,7.0,4.0
hierarchical_w32_n20_b4,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned int,",400,256,268.96,61.812744140625,34.1727294921875,,,,,,,,44121864.0,,1027577244.0,,,,,56.07,13.31,35.93,38.0,16400.0,1.0,6.0,5.0,8.0
hybrid2d_w64_n20_b4,0,hybrid2d_first_pass,2048,512,232.12800000000001,32.032379150390625,36.138641357421875,,,,,,,,39256064.0,,960498688.0,,,,,94.79,9.76,19.97,32.0,16400.0,6.4,4.0,5.0,4.0
hybrid2d_w64_n20_b4,1,hybrid2d_second_pass,2048,512,248.16,96.353515625,32.44561767578125,,,,,,,,39550976.0,,962595840.0,,,,,94.32,8.96,44.05,32.0,16400.0,6.4,4.0,5.0,4.0
hierarchical_w64_n20_b4,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned long,",160,512,515.52,128.36541748046875,70.23110961914062,,,,,,,,83027915.0,,2060173583.0,,,,,49.55,12.78,24.85,48.0,16400.0,1.0,2.0,3.0,4.0
