batch,v06_ms,aggregate_ms,online_ms,aggregate_speedup_v06,online_speedup_v06,online_over_aggregate,trials
16,1.520865,1.083413,1.14432,1.4037721533708751,1.3290556837248322,0.9467745036353468,3
32,4.094136,2.436465,2.524795,1.6803590447636225,1.621571652351973,0.9650149814143326,3
64,9.227468,4.967137,5.128664,1.8577035423021349,1.7991952680074188,0.9685050531678426,3
