label,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_coefficient_reuse_stages,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
online_b32_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","5+15","full-scratch","1",8,0,10,50,38.673119,2.529813,2.529942,0.000130,0,0,0,0,0,7,natural,natural,"",30.905920,12649.158410,443.773538,13263603928.498909,fused,shoup,-1
online_b32_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","5+15","full-scratch","1",8,0,10,50,38.208641,2.524795,2.524914,0.000119,0,0,0,0,0,7,natural,natural,"",30.693472,12674.297248,448.010435,13289963910.912025,fused,shoup,-1
v06_b32_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","0+0","17+13","full-scratch","1",8,0,10,50,38.194817,4.073493,4.073623,0.000131,0,0,0,0,0,7,natural,natural,"",30.828320,7855.666799,437.776688,8237263669.327369,fused,shoup,-1
aggregate_b32_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","5+15","full-scratch","1",8,0,10,50,21.624479,2.436465,2.436638,0.000173,0,0,0,0,0,7,natural,natural,"",25.005024,13133.783085,652.183199,13771769731.913246,fused,shoup,-1
aggregate_b32_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","5+15","full-scratch","1",8,0,10,50,38.422302,2.445415,2.445544,0.000130,0,0,0,0,0,7,natural,natural,"",23.054144,13085.715913,500.611210,13721367648.673681,fused,shoup,-1
online_b32_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","5+15","full-scratch","1",8,0,10,50,38.448578,2.523259,2.523400,0.000141,0,0,0,0,0,7,natural,natural,"",30.719521,12682.012016,446.357848,13298053431.777094,fused,shoup,-1
v06_b32_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,32,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","0+0","17+13","full-scratch","1",8,0,10,50,37.955776,4.094136,4.094243,0.000107,0,0,0,0,0,7,natural,natural,"",20.145599,7816.056462,514.506579,8195729220.673685,fused,shoup,-1
v06_b64_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,64,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","0+0","17+13","full-scratch","1",8,0,10,50,43.179359,9.227468,9.227564,0.000095,0,0,0,0,0,7,natural,natural,"",48.720448,6935.813443,632.865858,7272727516.583707,fused,shoup,-1
aggregate_b64_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,64,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","5+15","full-scratch","1",8,0,10,50,43.099873,4.967137,4.967289,0.000152,0,0,0,0,0,7,natural,natural,"",54.033054,12884.685013,626.836040,13510571472.172468,fused,shoup,-1
online_b64_t1,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,64,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","5+15","full-scratch","1",8,0,10,50,43.102943,5.127967,5.128098,0.000132,0,0,0,0,0,7,natural,natural,"",45.699585,12480.579826,681.354866,13086836471.446215,fused,shoup,-1
online_b64_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,64,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","5+15","full-scratch","1",8,0,10,50,47.968159,5.128664,5.128749,0.000086,0,0,0,0,0,7,natural,natural,"",40.217793,12478.884509,685.851837,13085058802.957756,fused,shoup,-1
v06_b64_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,64,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","0+0","17+13","full-scratch","1",8,0,10,50,43.098785,9.152020,9.152110,0.000089,0,0,0,0,0,7,natural,natural,"",54.479328,6992.991364,599.643208,7332682912.403980,fused,shoup,-1
aggregate_b64_t2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,64,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","5+15","full-scratch","1",8,0,10,50,73.454620,4.932526,4.932689,0.000163,0,0,0,0,0,7,natural,natural,"",40.202370,12975.096036,539.676711,13605374301.443594,fused,shoup,-1
aggregate_b64_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,64,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+0","0+0","5+15","full-scratch","1",8,0,10,50,75.083199,4.973076,4.973223,0.000146,0,0,0,0,0,7,natural,natural,"",40.197792,12869.297710,532.206533,13494436715.660509,fused,shoup,-1
online_b64_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-warp128-packet-shared-radix4-static-io-10x10","experimental",0.000000,"independent 128-thread packets fuse four rows through the resident shared radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,64,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-warp128-packet-shared-radix4-static-io+homogeneous-warp128-packet-shared-radix4-static-io","128+128","4+4","4+4","1+1","0+0","0+16","0+0","5+15","full-scratch","1",8,0,10,50,83.586914,5.163520,5.163641,0.000121,0,0,0,0,0,7,natural,natural,"",40.202080,12394.645851,496.306727,12996728167.695324,fused,shoup,-1
v06_b64_t3,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,64,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","0+0","17+13","full-scratch","1",8,0,10,50,43.108864,9.246392,9.246485,0.000093,0,0,0,0,0,7,natural,natural,"",50.796097,6921.618537,620.447510,7257843079.235257,fused,shoup,-1
