case,word_bits,logN,batch,data_time,kernel_ms,regret
w32_n10_b512_td15,32,10,512,15,0.054361,1.096010000201617
w32_n10_b528_td9,32,10,528,9,0.04993,1.0
w32_n10_b528_td10,32,10,528,10,0.050016,1.0017224113759262
w32_n10_b528_td15,32,10,528,15,0.054736,1.096254756659323
w32_n10_b544_td9,32,10,544,9,0.050726,1.0
w32_n10_b544_td10,32,10,544,10,0.050951,1.0044355951583015
w32_n10_b544_td15,32,10,544,15,0.055098,1.0861885423648623
w32_n10_b560_td9,32,10,560,9,0.052016,1.0
w32_n10_b560_td10,32,10,560,10,0.052019,1.0000576745616734
w32_n10_b560_td15,32,10,560,15,0.055255,1.0622693017533067
w32_n10_b576_td9,32,10,576,9,0.052995,1.0022505484529844
w32_n10_b576_td10,32,10,576,10,0.052876,1.0
w32_n10_b576_td15,32,10,576,15,0.055603,1.0515734926999016
w32_n10_b592_td9,32,10,592,9,0.052995,1.0016065016065017
w32_n10_b592_td10,32,10,592,10,0.05291,1.0
w32_n10_b592_td15,32,10,592,15,0.055692,1.0525798525798526
w32_n10_b608_td9,32,10,608,9,0.053019,1.0008872611945934
w32_n10_b608_td10,32,10,608,10,0.052972,1.0
w32_n10_b608_td15,32,10,608,15,0.055873,1.054764781393944
w32_n10_b624_td9,32,10,624,9,0.053142,1.0021876060800363
w32_n10_b624_td10,32,10,624,10,0.053026,1.0
w32_n10_b624_td15,32,10,624,15,0.056054,1.0571040621581866
w32_n10_b640_td9,32,10,640,9,0.053214,1.0
w32_n10_b640_td10,32,10,640,10,0.053395,1.0034013605442178
w32_n10_b640_td15,32,10,640,15,0.056439,1.060604352238133
w32_n12_b1_td6,32,12,1,6,0.086593,1.0846088328865953
w32_n12_b1_td12,32,12,1,12,0.079838,1.0
w32_n12_b1_td16,32,12,1,16,0.081114,1.0159823642876826
w32_n12_b16_td6,32,12,16,6,0.086699,1.0854742588141026
w32_n12_b16_td12,32,12,16,12,0.079872,1.0
w32_n12_b16_td16,32,12,16,16,0.081282,1.0176532451923077
w32_n12_b32_td6,32,12,32,6,0.086825,1.086072750925648
w32_n12_b32_td12,32,12,32,12,0.079944,1.0
w32_n12_b32_td16,32,12,32,16,0.081487,1.0193010107074953
w32_n12_b48_td6,32,12,48,6,0.086808,1.0863764923785446
w32_n12_b48_td12,32,12,48,12,0.079906,1.0
w32_n12_b48_td16,32,12,48,16,0.08148,1.0196981453207519
w32_n12_b64_td6,32,12,64,6,0.086842,1.0863805246631724
w32_n12_b64_td12,32,12,64,12,0.079937,1.0
w32_n12_b64_td16,32,12,64,16,0.081524,1.0198531343432955
w32_n12_b80_td6,32,12,80,6,0.086897,1.0862803925245328
w32_n12_b80_td12,32,12,80,12,0.079995,1.0
w32_n12_b80_td16,32,12,80,16,0.081562,1.0195887242952684
w32_n12_b96_td6,32,12,96,6,0.095177,1.0511568833176872
w32_n12_b96_td12,32,12,96,12,0.090545,1.0
w32_n12_b96_td16,32,12,96,16,0.095102,1.0503285659064554
w32_n12_b112_td6,32,12,112,6,0.095573,1.045164747438295
w32_n12_b112_td12,32,12,112,12,0.091443,1.0
w32_n12_b112_td16,32,12,112,16,0.099376,1.0867534967138
w32_n12_b128_td6,32,12,128,6,0.097833,1.0691546910004919
w32_n12_b128_td12,32,12,128,12,0.091505,1.0
w32_n12_b128_td16,32,12,128,16,0.09885,1.0802688377684277
w32_n12_b144_td6,32,12,144,6,0.097509,1.0780073629398692
w32_n12_b144_td12,32,12,144,12,0.090453,1.0
w32_n12_b144_td16,32,12,144,16,0.093177,1.0301150873934528
w32_n12_b160_td6,32,12,160,6,0.097464,1.082404157967216
w32_n12_b160_td12,32,12,160,12,0.090044,1.0
w32_n12_b160_td16,32,12,160,16,0.093013,1.032972768868553
w32_n12_b176_td6,32,12,176,6,0.108056,1.0
w32_n12_b176_td12,32,12,176,12,0.160771,1.4878488931665061
w32_n12_b176_td16,32,12,176,16,0.163178,1.5101243799511364
w32_n12_b192_td6,32,12,192,6,0.099642,1.0
w32_n12_b192_td12,32,12,192,12,0.149661,1.5019871138676462
w32_n12_b192_td16,32,12,192,16,0.151429,1.5197306356757192
w32_n12_b208_td6,32,12,208,6,0.102369,1.0
w32_n12_b208_td12,32,12,208,12,0.151852,1.4833787572409616
w32_n12_b208_td16,32,12,208,16,0.153924,1.5036192597368345
w32_n12_b224_td6,32,12,224,6,0.104527,1.0
w32_n12_b224_td12,32,12,224,12,0.153958,1.4729017383068492
w32_n12_b224_td16,32,12,224,16,0.155921,1.49168157509543
w32_n12_b240_td6,32,12,240,6,0.106588,1.0
w32_n12_b240_td12,32,12,240,12,0.153917,1.4440368521784817
w32_n12_b240_td16,32,12,240,16,0.157266,1.4754568994633541
w32_n12_b256_td6,32,12,256,6,0.124754,1.0
w32_n12_b256_td12,32,12,256,12,0.154583,1.2391025538259295
w32_n12_b256_td16,32,12,256,16,0.158368,1.269442262372349
w32_n12_b272_td6,32,12,272,6,0.126409,1.0
w32_n12_b272_td12,32,12,272,12,0.155293,1.2284963887065004
w32_n12_b272_td16,32,12,272,16,0.159044,1.2581699087881402
w32_n12_b288_td6,32,12,288,6,0.128505,1.0
w32_n12_b288_td12,32,12,288,12,0.155938,1.2134780747830822
w32_n12_b288_td16,32,12,288,16,0.159949,1.2446908680596085
w32_n12_b304_td6,32,12,304,6,0.14519,1.0
w32_n12_b304_td12,32,12,304,12,0.176394,1.2149183828087333
w32_n12_b304_td16,32,12,304,16,0.181002,1.2466561057924097
w32_n12_b320_td6,32,12,320,6,0.131321,1.0
w32_n12_b320_td12,32,12,320,12,0.158324,1.2056259090320665
w32_n12_b320_td16,32,12,320,16,0.161563,1.2302906618134193
w32_n12_b336_td6,32,12,336,6,0.19514,1.0
w32_n12_b336_td12,32,12,336,12,0.222246,1.1389054012503843
w32_n12_b336_td16,32,12,336,16,0.230154,1.1794301527108741
w32_n12_b352_td6,32,12,352,6,0.199718,1.0
w32_n12_b352_td12,32,12,352,12,0.225772,1.1304539400554783
w32_n12_b352_td16,32,12,352,16,0.231345,1.1583582851821068
w32_n12_b368_td6,32,12,368,6,0.202981,1.0
w32_n12_b368_td12,32,12,368,12,0.228816,1.127277922564181
w32_n12_b368_td16,32,12,368,16,0.233598,1.150836777826496
w32_n12_b384_td6,32,12,384,6,0.20692,1.0
w32_n12_b384_td12,32,12,384,12,0.229577,1.109496423738643
w32_n12_b384_td16,32,12,384,16,0.234452,1.1330562536245892
w32_n12_b400_td6,32,12,400,6,0.211067,1.0
w32_n12_b400_td12,32,12,400,12,0.229543,1.0875361851923797
w32_n12_b400_td16,32,12,400,16,0.2371,1.1233399820909948
w32_n12_b416_td6,32,12,416,6,0.213879,1.0
w32_n12_b416_td12,32,12,416,12,0.230014,1.0754398515048227
w32_n12_b416_td16,32,12,416,16,0.236489,1.1057139784644587
w32_n12_b432_td6,32,12,432,6,0.215576,1.0
w32_n12_b432_td12,32,12,432,12,0.230465,1.0690661298103685
w32_n12_b432_td16,32,12,432,16,0.237053,1.0996261179352063
w32_n12_b448_td6,32,12,448,6,0.217446,1.0
w32_n12_b448_td12,32,12,448,12,0.230851,1.061647489491644
w32_n12_b448_td16,32,12,448,16,0.237821,1.09370142472154
w32_n12_b464_td6,32,12,464,6,0.219194,1.0
w32_n12_b464_td12,32,12,464,12,0.231991,1.0583820725019846
w32_n12_b464_td16,32,12,464,16,0.238776,1.089336386944898
w32_n12_b480_td6,32,12,480,6,0.220563,1.0
w32_n12_b480_td12,32,12,480,12,0.233155,1.0570902644595874
w32_n12_b480_td16,32,12,480,16,0.239275,1.0848374387363247
w32_n12_b496_td6,32,12,496,6,0.22344,1.0
w32_n12_b496_td12,32,12,496,12,0.295598,1.3229412817758683
w32_n12_b496_td16,32,12,496,16,0.304923,1.3646750805585393
w32_n12_b512_td6,32,12,512,6,0.224492,1.0
w32_n12_b512_td12,32,12,512,12,0.29782,1.3266397020829248
w32_n12_b512_td16,32,12,512,16,0.307118,1.3680576590702564
w32_n12_b528_td6,32,12,528,6,0.228717,1.0
w32_n12_b528_td12,32,12,528,12,0.302421,1.3222497671795275
w32_n12_b528_td16,32,12,528,16,0.309654,1.3538740014952977
w32_n12_b544_td6,32,12,544,6,0.235005,1.0
w32_n12_b544_td12,32,12,544,12,0.303473,1.2913469926171783
w32_n12_b544_td16,32,12,544,16,0.310863,1.32279313206102
w32_n12_b560_td6,32,12,560,6,0.238165,1.0
w32_n12_b560_td12,32,12,560,12,0.304043,1.2766065542795961
w32_n12_b560_td16,32,12,560,16,0.311743,1.3089370814351395
w32_n12_b576_td6,32,12,576,6,0.240534,1.0
w32_n12_b576_td12,32,12,576,12,0.304725,1.2668687171044428
w32_n12_b576_td16,32,12,576,16,0.312914,1.3009138001280485
w32_n12_b592_td6,32,12,592,6,0.241753,1.0
w32_n12_b592_td12,32,12,592,12,0.305295,1.2628385169987548
w32_n12_b592_td16,32,12,592,16,0.31373,1.2977295007714487
w32_n12_b608_td6,32,12,608,6,0.242534,1.0
w32_n12_b608_td12,32,12,608,12,0.305254,1.2586029175290887
w32_n12_b608_td16,32,12,608,16,0.3139,1.2942515276208697
w32_n12_b624_td6,32,12,624,6,0.243296,1.0
w32_n12_b624_td12,32,12,624,12,0.30647,1.2596590161778245
w32_n12_b624_td16,32,12,624,16,0.315211,1.2955864461396818
w32_n12_b640_td6,32,12,640,6,0.244753,1.0
w32_n12_b640_td12,32,12,640,12,0.308231,1.2593553500876393
w32_n12_b640_td16,32,12,640,16,0.31644,1.2928952862681968
w64_n10_b1_td5,64,10,1,5,0.034215,1.0
w64_n10_b1_td9,64,10,1,9,0.036724,1.0733304106386088
w64_n10_b1_td10,64,10,1,10,0.036103,1.05518047639924
w64_n10_b16_td5,64,10,16,5,0.034444,1.0
w64_n10_b16_td9,64,10,16,9,0.037059,1.0759203344559285
w64_n10_b16_td10,64,10,16,10,0.036332,1.0548136104982
w64_n10_b32_td5,64,10,32,5,0.034458,1.0
w64_n10_b32_td9,64,10,32,9,0.037086,1.0762667595333448
w64_n10_b32_td10,64,10,32,10,0.036338,1.0545591734865634
w64_n10_b48_td5,64,10,48,5,0.034546,1.0
w64_n10_b48_td9,64,10,48,9,0.037158,1.0756093324842237
w64_n10_b48_td10,64,10,48,10,0.036396,1.0535517860244312
w64_n10_b64_td5,64,10,64,5,0.03458,1.0
w64_n10_b64_td9,64,10,64,9,0.037243,1.0770098322729902
w64_n10_b64_td10,64,10,64,10,0.036451,1.0541064198958936
w64_n10_b80_td5,64,10,80,5,0.034737,1.0
w64_n10_b80_td9,64,10,80,9,0.037311,1.0740996631833493
w64_n10_b80_td10,64,10,80,10,0.036502,1.0508103751043556
w64_n10_b96_td5,64,10,96,5,0.038564,1.0
w64_n10_b96_td9,64,10,96,9,0.040267,1.0441603568094595
w64_n10_b96_td10,64,10,96,10,0.039448,1.0229229333056735
w64_n10_b112_td5,64,10,112,5,0.038574,1.0
w64_n10_b112_td9,64,10,112,9,0.040243,1.0432674858713125
w64_n10_b112_td10,64,10,112,10,0.039509,1.0242391247990876
w64_n10_b128_td5,64,10,128,5,0.038864,1.0
w64_n10_b128_td9,64,10,128,9,0.040277,1.0363575545491972
w64_n10_b128_td10,64,10,128,10,0.03968,1.0209962947715108
w64_n10_b144_td5,64,10,144,5,0.038905,1.0
w64_n10_b144_td9,64,10,144,9,0.040281,1.035368204600951
w64_n10_b144_td10,64,10,144,10,0.039707,1.020614316925845
w64_n10_b160_td5,64,10,160,5,0.038987,1.0
w64_n10_b160_td9,64,10,160,9,0.040301,1.0337035422063763
w64_n10_b160_td10,64,10,160,10,0.039704,1.0183907456331598
w64_n10_b176_td5,64,10,176,5,0.04252,1.0497210289833605
w64_n10_b176_td9,64,10,176,9,0.041134,1.015503875968992
w64_n10_b176_td10,64,10,176,10,0.040506,1.0
w64_n10_b192_td5,64,10,192,5,0.038383,1.0436118437151636
w64_n10_b192_td9,64,10,192,9,0.037199,1.0114195600750429
w64_n10_b192_td10,64,10,192,10,0.036779,1.0
w64_n10_b208_td5,64,10,208,5,0.03841,1.0401039833193426
w64_n10_b208_td9,64,10,208,9,0.037301,1.010073384061307
w64_n10_b208_td10,64,10,208,10,0.036929,1.0
w64_n10_b224_td5,64,10,224,5,0.038397,1.039273534347426
w64_n10_b224_td9,64,10,224,9,0.037291,1.0093379526877064
w64_n10_b224_td10,64,10,224,10,0.036946,1.0
w64_n10_b240_td5,64,10,240,5,0.03839,1.0382129431808962
w64_n10_b240_td9,64,10,240,9,0.037332,1.0096005625118316
w64_n10_b240_td10,64,10,240,10,0.036977,1.0
w64_n10_b256_td5,64,10,256,5,0.045558,1.1277570116592817
w64_n10_b256_td9,64,10,256,9,0.040946,1.013590118078075
