case,word_bits,logN,batch,data_time,kernel_ms,regret
w64_n12_b320_td16,64,12,320,16,0.288553,1.0674417916410799
w64_n12_b336_td11,64,12,336,11,0.381679,1.0074513799438307
w64_n12_b336_td12,64,12,336,12,0.378856,1.0
w64_n12_b336_td16,64,12,336,16,0.379621,1.0020192368604428
w64_n12_b352_td11,64,12,352,11,0.385335,1.011587704537161
w64_n12_b352_td12,64,12,352,12,0.380921,1.0
w64_n12_b352_td16,64,12,352,16,0.383727,1.0073663568036417
w64_n12_b368_td11,64,12,368,11,0.388574,1.0137488781750255
w64_n12_b368_td12,64,12,368,12,0.383304,1.0
w64_n12_b368_td16,64,12,368,16,0.387966,1.0121626698390833
w64_n12_b384_td11,64,12,384,11,0.391308,1.0154217430228485
w64_n12_b384_td12,64,12,384,12,0.385365,1.0
w64_n12_b384_td16,64,12,384,16,0.392069,1.0173964942327403
w64_n12_b400_td11,64,12,400,11,0.393923,1.0173053183961656
w64_n12_b400_td12,64,12,400,12,0.387222,1.0
w64_n12_b400_td16,64,12,400,16,0.395913,1.0224444892077413
w64_n12_b416_td11,64,12,416,11,0.397162,1.021543985637343
w64_n12_b416_td12,64,12,416,12,0.388786,1.0
w64_n12_b416_td16,64,12,416,16,0.400667,1.0305592279557392
w64_n12_b432_td11,64,12,432,11,0.400463,1.0236365588319496
w64_n12_b432_td12,64,12,432,12,0.391216,1.0
w64_n12_b432_td16,64,12,432,16,0.405299,1.0359980164410454
w64_n12_b448_td11,64,12,448,11,0.404214,1.0249717267715777
w64_n12_b448_td12,64,12,448,12,0.394366,1.0
w64_n12_b448_td16,64,12,448,16,0.408921,1.0369073398822413
w64_n12_b464_td11,64,12,464,11,0.407801,1.0248857122033481
w64_n12_b464_td12,64,12,464,12,0.397899,1.0
w64_n12_b464_td16,64,12,464,16,0.413102,1.0382081885101495
w64_n12_b480_td11,64,12,480,11,0.412894,1.0232381783171465
w64_n12_b480_td12,64,12,480,12,0.403517,1.0
w64_n12_b480_td16,64,12,480,16,0.424991,1.0532170887471903
w64_n12_b496_td11,64,12,496,11,0.515171,1.0167260053365332
w64_n12_b496_td12,64,12,496,12,0.510362,1.007235107441148
w64_n12_b496_td16,64,12,496,16,0.506696,1.0
w64_n12_b512_td11,64,12,512,11,0.519206,1.0134467526941326
w64_n12_b512_td12,64,12,512,12,0.512631,1.0006129017776102
w64_n12_b512_td16,64,12,512,16,0.512317,1.0
w64_n12_b528_td11,64,12,528,11,0.522093,1.0130666195797493
w64_n12_b528_td12,64,12,528,12,0.515359,1.0
w64_n12_b528_td16,64,12,528,16,0.518188,1.0054893773078573
w64_n12_b544_td11,64,12,544,11,0.524698,1.0115167218019603
w64_n12_b544_td12,64,12,544,12,0.518724,1.0
w64_n12_b544_td16,64,12,544,16,0.522848,1.0079502779898366
w64_n12_b560_td11,64,12,560,11,0.527408,1.0143651466806682
w64_n12_b560_td12,64,12,560,12,0.519939,1.0
w64_n12_b560_td16,64,12,560,16,0.528155,1.0158018536789892
w64_n12_b576_td11,64,12,576,11,0.531115,1.0194869885193383
w64_n12_b576_td12,64,12,576,12,0.520963,1.0
w64_n12_b576_td16,64,12,576,16,0.533651,1.0243548966049414
w64_n12_b592_td11,64,12,592,11,0.534572,1.021270905054658
w64_n12_b592_td12,64,12,592,12,0.523438,1.0
w64_n12_b592_td16,64,12,592,16,0.53619,1.024362006579576
w64_n12_b608_td11,64,12,608,11,0.538109,1.019980362721014
w64_n12_b608_td12,64,12,608,12,0.527568,1.0
w64_n12_b608_td16,64,12,608,16,0.540368,1.0242622751948562
w64_n12_b624_td11,64,12,624,11,0.543099,1.0250226011199586
w64_n12_b624_td12,64,12,624,12,0.529841,1.0
w64_n12_b624_td16,64,12,624,16,0.547748,1.03379693153229
w64_n12_b640_td11,64,12,640,11,0.547867,1.018955688845492
w64_n12_b640_td12,64,12,640,12,0.537675,1.0
w64_n12_b640_td16,64,12,640,16,0.562121,1.0454661273073882
